constantId,packageIn,methodIn,methodRefClass,methodRef,codeUnit,varName,varClass,varRefClass
-1,com.benoitletondor.easybudgetapp.view.MainActivity,onCreate,com.benoitletondor.easybudgetapp.helper.Parameters,getInt,$i0 = virtualinvoke $r3.<com.benoitletondor.easybudgetapp.helper.Parameters: int getInt(java.lang.String,int)>("onboarding_step", -1),,,
2130968604,com.benoitletondor.easybudgetapp.view.MainActivity,onCreate,com.benoitletondor.easybudgetapp.view.MainActivity,setContentView,virtualinvoke $r0.<com.benoitletondor.easybudgetapp.view.MainActivity: void setContentView(int)>(2130968604),,,
2131689610,com.benoitletondor.easybudgetapp.view.MainActivity,onCreate,com.benoitletondor.easybudgetapp.view.MainActivity,findViewById,$r4 = virtualinvoke $r0.<com.benoitletondor.easybudgetapp.view.MainActivity: android.view.View findViewById(int)>(2131689610),budgetLine,android.widget.TextView,com.benoitletondor.easybudgetapp.view.MainActivity
2131689611,com.benoitletondor.easybudgetapp.view.MainActivity,onCreate,com.benoitletondor.easybudgetapp.view.MainActivity,findViewById,$r4 = virtualinvoke $r0.<com.benoitletondor.easybudgetapp.view.MainActivity: android.view.View findViewById(int)>(2131689611),budgetLineAmount,android.widget.TextView,com.benoitletondor.easybudgetapp.view.MainActivity
2131689609,com.benoitletondor.easybudgetapp.view.MainActivity,onCreate,com.benoitletondor.easybudgetapp.view.MainActivity,findViewById,$r4 = virtualinvoke $r0.<com.benoitletondor.easybudgetapp.view.MainActivity: android.view.View findViewById(int)>(2131689609),budgetLineContainer,android.view.View,com.benoitletondor.easybudgetapp.view.MainActivity
2131689615,com.benoitletondor.easybudgetapp.view.MainActivity,onCreate,com.benoitletondor.easybudgetapp.view.MainActivity,findViewById,$r4 = virtualinvoke $r0.<com.benoitletondor.easybudgetapp.view.MainActivity: android.view.View findViewById(int)>(2131689615),coordinatorLayout,android.support.design.widget.CoordinatorLayout,com.benoitletondor.easybudgetapp.view.MainActivity
2131689612,com.benoitletondor.easybudgetapp.view.MainActivity,onCreate,com.benoitletondor.easybudgetapp.view.MainActivity,findViewById,$r4 = virtualinvoke $r0.<com.benoitletondor.easybudgetapp.view.MainActivity: android.view.View findViewById(int)>(2131689612),recyclerViewPlaceholder,android.view.View,com.benoitletondor.easybudgetapp.view.MainActivity
103,com.benoitletondor.easybudgetapp.view.MainActivity,onCreate,android.support.v4.app.ActivityCompat,startActivityForResult,staticinvoke <android.support.v4.app.ActivityCompat: void startActivityForResult(android.app.Activity,android.content.Intent,int,android.os.Bundle)>($r0, $r12, 103, null),,,
6,com.benoitletondor.easybudgetapp.view.MainActivity,onStart,java.util.Calendar,get,$i0 = virtualinvoke $r3.<java.util.Calendar: int get(int)>(6),,,
6,com.benoitletondor.easybudgetapp.view.MainActivity,onStart,java.util.Calendar,get,$i1 = virtualinvoke $r3.<java.util.Calendar: int get(int)>(6),,,
